分类	来源	文件	行号	错误码	符号	源码片段
X-需人工:setCreatingBoard,	local	src/components/KanbanPanel.tsx	287	TS6133	setCreatingBoard	setCreatingBoard,
X-需人工:setSavingBoard,	local	src/components/KanbanPanel.tsx	304	TS6133	setSavingBoard	setSavingBoard,
X-需人工:setBoardStats,	local	src/components/KanbanPanel.tsx	308	TS6133	setBoardStats	setBoardStats,
X-需人工:setAssigneeList,	local	src/components/KanbanPanel.tsx	312	TS6133	setAssigneeList	setAssigneeList,
X-需人工:setReassigning,	local	src/components/KanbanPanel.tsx	330	TS6133	setReassigning	setReassigning,
X-需人工:setJustCreatedIds,	local	src/components/KanbanPanel.tsx	332	TS6133	setJustCreatedIds	setJustCreatedIds,
D-解构	local	src/components/MessageBubble.tsx	181	TS6133	zoomedName	const [zoomedName, setZoomedName] = useState<string | undefined>(undefined);
I-import成员	local	src/components/MessageContainer.tsx	9	TS6133	VirtualItem	import { useVirtualizer, type VirtualItem } from '@tanstack/react-virtual'
V-局部变量	local	src/components/PaneShell.tsx	444	TS6133	onToggle	const onToggle = side === 'left' ? onLeftToggle : onRightToggle;
I-import成员	local	src/components/PasswordDialog.tsx	2	TS6133	cn	import { cn } from '@/lib/utils';
V-局部变量	local	src/components/ProcessPanel.tsx	75	TS6133	exited	const exited = processes.filter(p => p.status === 'exited');
I-import成员	local	src/components/ProjectDialogs.tsx	8	TS6133	Home	import { Home, RefreshCw, FolderGit } from 'lucide-react';
P-参数	param	src/components/ProjectTreeItems.tsx	566	TS6133	onRowDragStart	export const ProjectItem = memo(function ProjectItem({ project, sessionId, onSwitchSession, onSessionRowActiva
P-参数	param	src/components/ProjectTreeItems.tsx	566	TS6133	onRowDragOver	export const ProjectItem = memo(function ProjectItem({ project, sessionId, onSwitchSession, onSessionRowActiva
P-参数	param	src/components/ProjectTreeItems.tsx	566	TS6133	onRowDrop	export const ProjectItem = memo(function ProjectItem({ project, sessionId, onSwitchSession, onSessionRowActiva
P-参数	param	src/components/ProjectTreeItems.tsx	566	TS6133	onRowDragEnd	export const ProjectItem = memo(function ProjectItem({ project, sessionId, onSwitchSession, onSessionRowActiva
I-import成员	local	src/components/ProjectTreePanel.tsx	15	TS6133	Home	import { Home, Plus, RefreshCw, FolderGit, ChevronRight } from 'lucide-react';
I-import成员	local	src/components/ProjectTreePanel.tsx	35	TS6133	writeProjectIdea	loadPinnedIds, savePinnedIds, writeProjectIdea, RepoNodeItem, ProjectItem,
I-import成员	local	src/components/ProjectTreePanel.tsx	36	TS6133	RepoNode	type SessionPreview, type LaneGroup, type RepoNode, type ProjectNode, type TreeResult,
P-参数	param	src/components/ReasoningBlock.tsx	186	TS6133	e	onClick={(e) => {
I-import成员	local	src/components/SessionsPanel.tsx	36	TS6133	DeleteIcon	import { DeleteIcon } from './Icons';
P-参数	param	src/components/SessionsPanel.tsx	217	TS6133	isStreaming	isStreaming,
I-import成员	local	src/components/SettingsPanel.tsx	4	TS6196	PoolProvider	import type { ProviderEntry, ProviderModel, AuxTaskEntry, PoolProvider } from '../utils/settings-store';
D-解构	local	src/components/SettingsPanel.tsx	124	TS6133	gatewayOnline	const [gatewayOnline, setGatewayOnline] = useState(false);
P-参数	param	src/components/SettingsPanel.tsx	326	TS6133	providerId	const requestUnlock = (providerId: string) => {
V-局部变量	local	src/components/SettingsPanel.tsx	476	TS6133	newDelProvider	const newDelProvider = delProvider === providerId ? '' : delProvider;
V-局部变量	local	src/components/SettingsPanel.tsx	477	TS6133	newDelModel	const newDelModel = delProvider === providerId ? '' : delModel;
I-import成员	local	src/components/SidePanel.tsx	6	TS6133	cn	import { cn } from '@/lib/utils';
I-import成员	local	src/components/SidePanel.tsx	25	TS6133	BotIcon	import { Radio, Activity, GitCommit, BookOpen, Bot as BotIcon } from 'lucide-react';
P-参数	param	src/components/SkillsPanel.tsx	169	TS6133	name	const doInstall = useCallback(async (identifier: string, name: string) => {
P-参数	param	src/components/StatusBar.tsx	25	TS6133	onOpenSettings	onOpenSettings,
I-import成员	local	src/components/TerminalPanel.tsx	15	TS6133	useMemo	import { useEffect, useRef, useCallback, useState, useMemo, useSyncExternalStore } from 'react';
P-参数	param	src/components/TerminalPanel.tsx	94	TS6133	sessionId	export default function TerminalPanel({ sessionId, cwd }: TerminalPanelProps) {
V-局部变量	local	src/components/UsagePanel.tsx	436	TS6133	hasChildren	const hasChildren = isParent && row.children.length > 0;
D-解构	local	src/components/kanban/KanbanColumn.tsx	30	TS6133	hovered	const [hovered, setHovered] = useState(false);
I-import成员	local	src/components/kanban/TaskDrawer.tsx	23	TS6133	isBlocked	import { isBlocked, isDone, fmtAge, fmtDuration } from './helpers';
I-import成员	local	src/components/kanban/TaskDrawer.tsx	23	TS6133	isDone	import { isBlocked, isDone, fmtAge, fmtDuration } from './helpers';
P-参数	param	src/components/kanban/TaskDrawer.tsx	149	TS6133	taskId	function AddLinkForm({ taskId, direction, onSubmit }: { taskId: string; direction: 'parent' | 'child'; onSubmi
V-局部变量	local	src/components/kanban/TaskDrawer.tsx	497	TS6133	handleSaveAssignee	const handleSaveAssignee = async () => {
I-import成员	local	src/components/kanban/useKanban.ts	11	TS6133	getKanbanTask	getKanbanTask,
I-import成员	local	src/components/kanban/useKanban.ts	16	TS6133	addKanbanComment	addKanbanComment,
I-import成员	local	src/components/kanban/useKanban.ts	17	TS6133	getKanbanAttachments	getKanbanAttachments,
I-import成员	local	src/components/kanban/useKanban.ts	18	TS6133	uploadKanbanAttachment	uploadKanbanAttachment,
I-import成员	local	src/components/kanban/useKanban.ts	19	TS6133	deleteKanbanAttachment	deleteKanbanAttachment,
I-import成员	local	src/components/kanban/useKanban.ts	20	TS6133	getKanbanRun	getKanbanRun,
I-import成员	local	src/components/kanban/useKanban.ts	22	TS6133	pollKanbanEvents	pollKanbanEvents,
I-import成员	local	src/components/kanban/useKanban.ts	23	TS6133	getApiBase	getApiBase,
I-import成员	local	src/components/kanban/useKanban.ts	34	TS6133	createKanbanLink	createKanbanLink,
I-import成员	local	src/components/kanban/useKanban.ts	35	TS6133	deleteKanbanLink	deleteKanbanLink,
I-import成员	local	src/components/kanban/useKanban.ts	48	TS6133	setKanbanOrchestration	setKanbanOrchestration,
I-import成员	local	src/components/preview/PreviewConsolePanel.tsx	24	TS6133	isNearConsoleBottom	isNearConsoleBottom,
P-参数	param	src/components/settings/ChatSettings.tsx	58	TS6133	onSaved	export default function ChatSettings({ onSaved }: { onSaved?: () => void }) {
D-解构	local	src/components/settings/MediaProviderSection.tsx	83	TS6133	settingsLoaded	const [settingsLoaded, setSettingsLoaded] = useState(false);
P-参数	param	src/components/settings/ModelSettings.tsx	840	TS6133	catIdx	['图片', '视频', '音乐'].map((cat, catIdx) => {
P-参数	param	src/components/settings/SecuritySettings.tsx	12	TS6133	keyUnlocked	keyUnlocked,
V-局部变量	local	src/hooks/useBootstrap.ts	119	TS6133	portPromise	const portPromise = discoverPort();
I-import成员	local	src/hooks/useGridChat.ts	60	TS6133	getSessionStatus	import { getSessionStatus } from '@/store/session-status';
P-参数	param	src/hooks/useGridChat.ts	778	TS6133	s	patch(profile, (s) => ({
V-局部变量	local	src/hooks/useGridChat.ts	834	TS6133	dpGoal	const dpGoal = payload.goal as string | undefined;
I-import成员	local	src/hooks/useMessageStream.ts	6	TS6133	storage	import * as storage from '../utils/storage';
I-import成员	local	src/hooks/useMessageStream.ts	7	TS6133	profileFromSessionId	import { profileFromSessionId, persistSessionPointer } from '../utils/session';
I-import成员	local	src/hooks/useMessageStream.ts	31	TS6133	Session	import type { Session } from '@/types';
P-参数	param	src/hooks/useMessageStream.ts	701	TS6133	model	onDelegateEnd: ({ taskId, status, summary, model, tokensInput, tokensOutput, duration, sessionId }: { taskId: 
I-import成员	local	src/hooks/usePromptActions.ts	4	TS6133	getMessages	import { setMessages as storeSetMessages, getMessages, getIsStreaming } from '../store/messages';
V-局部变量	local	src/hooks/usePromptActions.ts	98	TS6133	compacting	const compacting = useSessionStatus(sess.sessionId ?? '').compacting;
T-类型	local	src/hooks/useSSE.ts	180	TS6196	RunCompleteChunk	interface RunCompleteChunk {
D-解构	local	src/hooks/useSSE.ts	701	TS6133	raw	const { raw, chunk } = norm;
I-import成员	local	src/hooks/useSessions.ts	4	TS6133	call	import { call } from '../utils/bridge';
I-import成员	local	src/hooks/useTerminal.ts	18	TS6133	setActiveTerminalId	import { registerTerminalReader, makeTerminalReader, setActiveTerminalId } from '@/store/terminal-buffer';
P-参数	param	src/lib/chat-messages.ts	321	TS6133	prevResult	prevResult?: unknown,
I-import成员	local	src/lib/preview-events.ts	21	TS6133	beginPreviewRestart	beginPreviewRestart,
I-import成员	local	src/lib/sidebar-node-open.ts	8	TS6133	useState	import { useCallback, useState, useSyncExternalStore } from 'react';
T-类型	local	src/services/ws-client.ts	29	TS6196	JsonRpcResponse	interface JsonRpcResponse {
F-局部函数	local	src/themes/context.tsx	53	TS6133	isDarkColor	function isDarkColor(hex: string): boolean {
P-参数	param	src/themes/derive.ts	177	TS6133	isDark	export function deriveTerminalTheme(colors: DerivedColors, isDark: boolean) {
I-import成员	local	src/utils/api.ts	17	TS6133	discoverPort	import { call, discoverPort, setHttpBase, getHttpBase } from './bridge';
I-import成员	local	src/utils/api.ts	17	TS6133	setHttpBase	import { call, discoverPort, setHttpBase, getHttpBase } from './bridge';
